MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
M00037,Central,Residential,2025-05-18,41.27,28.85,18,Active,6.72
M00038,West,Residential,2025-02-20,48.71,27.61,19,Active,6.76
M00039,North,Commercial,2025-02-20,67.5,39.04,20,Active,8.49
M00040,South,Residential,2025-03-28,67.43,32.78,31,Faulty,6.11
M00041,East,Commercial,2025-03-09,50.01,16.4,13,Active,8.56
M00042,North,Residential,2025-03-25,33.08,8.4,19,Active,7.2
M00043,East,Residential,2025-02-11,25.27,10.66,16,Active,6.88
M00044,South,Industrial,2025-08-07,106.7,66.77,30,Active,10.14
M00045,South,Residential,2025-02-26,48.01,35.06,10,Active,6.81
M00046,North,Industrial,2025-08-14,101.22,47.12,24,Active,10.23
M00047,South,Industrial,2025-07-15,126.66,54.81,9,Active,10.69
M00048,West,Commercial,2025-09-05,74.5,35.24,16,Active,8.29
M00049,South,Commercial,2025-06-15,59.27,27.49,17,Active,9.16
M00050,East,Commercial,2025-03-03,48.44,27.27,16,Active,8.9
M00051,East,Industrial,2025-09-20,103.98,64.16,22,Active,9.67
M00052,East,Residential,2025-04-22,76.13,48.91,17,Active,6.48
M00053,East,Residential,2025-09-10,41.44,23.82,23,Active,6.57
M00054,West,Commercial,2025-07-18,67.59,31.69,8,Active,8.11
M00055,Central,Residential,2025-06-27,20.32,14.73,20,Active,6.72
M00056,North,Residential,2025-01-26,51.18,30.99,19,Active,6.34
M00057,East,Residential,2025-09-03,42.52,19.7,6,Active,6.6
M00058,South,Commercial,2025-01-19,56.9,26.93,21,Active,8.57
M00059,East,Industrial,2025-09-22,101.71,67.03,19,Active,10.18
M00060,South,Residential,2025-11-13,52.12,24.51,13,Active,7.1
M00061,South,Industrial,2025-01-20,105.91,53.82,15,Faulty,10.51
M00062,East,Commercial,2025-04-16,71.6,28.34,21,Active,9.13
M00063,West,Commercial,2025-08-25,80.0,53.56,19,Active,8.74
M00064,South,Commercial,2025-11-02,52.32,26.74,16,Active,8.8
M00065,South,Commercial,2025-09-03,58.13,30.59,16,Active,8.56
M00066,East,Residential,2025-03-22,26.22,18.1,21,Active,6.93
M00067,South,Commercial,2025-05-30,61.92,43.98,20,Active,8.27
M00068,South,Residential,2025-01-10,21.01,13.91,16,Active,6.62
M00069,East,Industrial,2025-11-17,110.82,31.33,19,Active,10.43
M00070,East,Industrial,2025-08-12,108.98,51.41,25,Active,10.51
M00071,North,Residential,2025-09-21,29.66,12.51,20,Active,6.32
M00072,West,Residential,2025-05-29,37.5,13.38,11,Faulty,6.24
M00073,West,Commercial,2025-10-05,60.53,42.64,15,Active,8.38
M00074,South,Residential,2025-10-01,27.53,19.13,28,Active,7.2
M00075,West,Industrial,2025-07-13,107.87,52.06,22,Active,9.67
M00076,South,Residential,2025-06-21,26.42,8.38,17,Faulty,7.24
M00077,North,Residential,2025-09-22,34.48,8.85,15,Active,7.29
M00078,East,Industrial,2025-11-06,93.18,43.72,18,Active,10.52
M00079,East,Commercial,2025-01-26,60.31,16.28,21,Active,8.99
M00080,East,Commercial,2025-12-16,58.08,32.22,19,Active,9.24
M00081,West,Residential,2025-12-22,47.16,26.14,13,Active,6.38
M00082,North,Commercial,2025-01-26,59.3,41.48,16,Active,8.17
M00083,West,Commercial,2025-02-03,50.09,17.28,18,Active,9.07
M00084,West,Commercial,2025-09-21,73.88,32.19,16,Active,8.22
M00085,North,Commercial,2025-05-18,53.24,36.19,22,Active,8.06
M00086,North,Commercial,2025-10-31,65.63,31.97,16,Active,8.26
M00087,North,Residential,2025-07-02,28.63,8.01,15,Faulty,6.57
M00088,North,Residential,2025-12-29,29.63,9.05,19,Active,6.64
M00089,East,Commercial,2025-08-30,53.54,35.16,13,Active,8.08
M00090,Central,Residential,2025-02-23,22.43,13.95,19,Faulty,6.58
M00091,Central,Commercial,2025-06-17,52.9,36.39,17,Active,8.79
M00092,North,Residential,2025-04-29,41.8,12.93,15,Active,7.21
M00093,Central,Commercial,2025-05-23,60.3,38.0,16,Active,8.3
M00094,Central,Commercial,2025-03-22,63.06,36.42,16,Active,8.27
M00095,North,Residential,2025-09-02,27.31,10.0,20,Active,6.51
M00096,Central,Residential,2025-12-18,28.85,21.26,15,Active,7.28
M00097,West,Residential,2025-12-24,27.89,14.93,16,Active,6.44
M00098,South,Commercial,2025-03-03,63.62,44.75,16,Active,8.06
M00099,South,Commercial,2025-02-15,67.44,45.83,23,Faulty,8.35
M00100,North,Residential,2025-03-28,27.23,11.34,13,Active,6.73
M00101,East,Commercial,2025-04-09,61.41,31.81,16,Active,8.54
M00102,North,Residential,2025-10-22,27.8,12.95,27,Active,7.01
M00103,East,Residential,2025-02-22,25.15,15.2,20,Active,6.79
M00104,South,Industrial,2025-07-11,138.66,75.43,15,Active,10.23
M00105,North,Residential,2025-03-21,25.45,16.35,17,Active,6.42
M00106,West,Residential,2025-01-16,33.5,8.57,14,Active,6.72
M00107,Central,Residential,2025-12-26,33.02,19.61,23,Active,6.8
M00108,East,Residential,2025-11-22,28.02,11.48,16,Active,6.23
M00109,Central,Residential,2025-07-13,26.63,9.64,12,Active,6.96
M00110,Central,Residential,2025-05-21,23.82,15.5,12,Active,6.51
M00111,North,Commercial,2025-04-18,67.45,19.87,22,Active,8.96
M00112,Central,Residential,2025-10-30,58.58,21.34,18,Active,6.23
M00113,West,Residential,2025-09-22,38.89,13.68,14,Active,6.85
M00114,Central,Residential,2025-10-17,56.56,26.01,15,Active,6.03
M00115,North,Residential,2025-07-28,37.32,15.34,12,Active,6.21
M00116,West,Commercial,2025-06-14,52.0,31.73,26,Faulty,9.16
M00117,South,Industrial,2025-12-08,105.34,63.17,16,Active,10.1
M00118,Central,Residential,2025-11-16,33.61,13.87,16,Active,6.66
M00119,North,Industrial,2025-06-01,104.11,48.77,24,Active,10.68
M00120,South,Commercial,2025-10-17,71.53,25.32,11,Active,8.63
M00121,South,Commercial,2025-09-25,68.5,40.1,18,Active,8.85
M00122,East,Residential,2025-05-31,34.92,15.65,17,Active,6.29
M00123,West,Residential,2025-07-26,69.2,21.9,17,Active,6.11
M00124,Central,Residential,2025-09-12,37.65,11.81,16,Active,6.46
M00125,North,Commercial,2025-12-19,47.49,19.53,17,Active,9.04
M00126,East,Residential,2025-05-21,25.26,15.75,17,Active,6.58
M00127,West,Industrial,2025-12-09,100.16,26.32,22,Active,9.72
M00128,East,Residential,2025-12-24,49.75,18.85,23,Active,6.71
M00129,West,Residential,2025-04-06,37.92,12.56,22,Active,6.34
M00130,West,Commercial,2025-08-15,68.04,49.55,18,Active,9.23
M00131,Central,Residential,2025-07-12,25.6,15.43,15,Active,6.75
M00132,West,Residential,2025-10-30,32.41,11.88,20,Active,7.28
M00133,East,Commercial,2025-11-10,57.74,20.42,19,Active,8.06
M00134,West,Industrial,2025-04-28,134.09,91.05,8,Active,9.52
M00135,Central,Commercial,2025-01-05,53.88,18.59,13,Active,8.62
M00136,Central,Commercial,2025-12-18,63.94,47.86,18,Active,9.12
M00137,East,Commercial,2025-08-31,50.65,19.81,15,Active,8.68
M00138,South,Industrial,2025-01-21,97.49,28.48,24,Active,10.64
M00139,South,Residential,2025-06-01,45.71,27.22,20,Active,6.17
M00140,West,Residential,2025-05-08,28.83,16.0,21,Active,6.91
M00141,North,Residential,2025-05-04,21.64,16.23,20,Active,6.86
M00142,West,Residential,2025-05-26,27.27,17.75,26,Active,6.71
M00143,East,Commercial,2025-10-04,65.65,30.49,22,Active,8.53
M00144,East,Commercial,2025-11-06,59.2,34.83,18,Active,8.84
M00145,East,Commercial,2025-06-01,51.56,33.97,26,Active,8.72
M00146,East,Residential,2025-12-26,30.66,15.54,20,Active,6.35
M00147,East,Commercial,2025-04-21,52.44,20.26,19,Active,8.14
M00148,Central,Residential,2025-04-26,23.19,8.23,11,Active,6.5
M00149,South,Commercial,2025-07-07,55.09,21.91,17,Active,8.67
M00150,East,Commercial,2025-02-26,53.59,36.12,17,Active,8.66
M00151,North,Residential,2025-09-08,25.37,11.17,19,Active,6.55
M00152,North,Residential,2025-05-30,28.57,11.24,18,Active,6.43
M00153,North,Residential,2025-06-11,35.27,23.03,16,Active,6.46
M00154,North,Commercial,2025-04-30,53.63,14.26,10,Active,8.35
M00155,Central,Industrial,2025-03-11,113.57,62.12,11,Active,10.25
M00156,North,Commercial,2025-12-17,51.29,35.23,15,Active,9.1
M00157,East,Residential,2025-04-09,21.36,9.72,22,Faulty,7.14
M00158,West,Residential,2025-06-16,34.54,13.29,21,Active,7.29
M00159,North,Commercial,2025-10-25,62.45,30.97,15,Active,8.12
M00160,Central,Commercial,2025-05-31,82.3,50.1,13,Active,8.28
M00161,Central,Residential,2025-11-22,86.61,44.02,23,Active,6.95
M00162,North,Residential,2025-01-02,21.58,5.48,16,Active,6.84
M00163,West,Commercial,2025-06-01,52.72,15.24,18,Active,8.17
M00164,North,Residential,2025-12-31,37.34,22.8,23,Active,6.82
M00165,Central,Residential,2025-03-06,20.86,9.39,24,Faulty,6.53
M00166,South,Residential,2025-11-22,39.73,25.52,28,Active,7.24
M00167,East,Residential,2025-03-10,56.54,32.5,9,Active,7.11
M00168,Central,Industrial,2025-05-01,98.8,53.43,25,Faulty,9.6
M00169,North,Industrial,2025-04-19,98.69,69.15,20,Active,9.62
M00170,East,Commercial,2025-11-12,58.71,15.3,16,Active,8.54
M00171,North,Residential,2025-09-04,33.27,10.9,18,Active,6.01
M00172,North,Residential,2025-04-03,39.47,22.19,15,Active,6.12
M00173,South,Residential,2025-09-25,21.91,6.2,27,Active,7.21
M00174,East,Residential,2025-04-13,45.62,26.12,13,Faulty,7.03
M00175,East,Commercial,2025-04-22,63.58,47.18,21,Active,8.87
M00176,South,Residential,2025-11-17,37.55,25.89,17,Active,7.08
M00177,Central,Residential,2025-10-31,29.35,16.01,18,Active,6.33
M00178,North,Residential,2025-12-10,30.87,21.52,16,Active,6.94
M00179,West,Residential,2025-03-03,34.52,10.64,23,Faulty,6.8
M00180,North,Residential,2025-10-27,25.04,11.95,21,Active,7.1
M00181,North,Residential,2025-05-16,18.59,8.63,22,Active,6.37
M00182,Central,Industrial,2025-02-24,100.36,41.97,15,Active,10.49
M00183,North,Residential,2025-04-18,21.24,5.31,21,Active,7.11
M00184,South,Residential,2025-10-30,24.28,16.89,20,Active,6.71
M00185,South,Industrial,2025-09-15,102.25,65.32,20,Active,10.04
M00186,East,Industrial,2025-09-10,111.01,63.99,23,Active,10.73
M00187,West,Commercial,2025-08-10,89.05,28.0,27,Active,8.22
M00188,North,Commercial,2025-06-16,71.46,31.38,17,Active,8.05
M00189,North,Residential,2025-06-09,26.13,18.61,16,Active,6.23
M00190,Central,Residential,2025-06-15,21.4,11.95,23,Active,6.89
M00191,South,Residential,2025-07-24,29.04,16.02,18,Active,7.03
M00192,West,Commercial,2025-09-24,74.99,52.99,24,Active,8.93
M00193,East,Commercial,2025-05-18,75.4,39.96,13,Active,8.55
M00194,South,Residential,2025-12-12,53.36,29.28,24,Active,7.26
M00195,East,Residential,2025-09-05,40.98,17.33,30,Active,6.58
M00196,Central,Commercial,2025-02-24,49.23,21.45,24,Active,9.28
M00197,Central,Residential,2025-07-28,29.25,17.34,21,Active,7.19
M00198,North,Commercial,2025-01-17,52.86,21.68,19,Active,8.53
M00199,West,Commercial,2025-03-09,62.97,33.35,21,Active,8.21
M00200,East,Commercial,2025-05-13,81.54,31.77,20,Active,8.12
M00201,South,Commercial,2025-07-07,80.3,26.74,16,Active,8.69
M00202,Central,Industrial,2025-11-04,93.85,44.79,22,Active,10.49
M00203,North,Residential,2025-05-18,36.37,13.05,21,Active,6.23
M00204,North,Commercial,2025-06-23,67.1,46.92,18,Active,8.41
M00205,East,Commercial,2025-04-07,57.34,23.04,18,Active,8.82
M00206,Central,Residential,2025-06-20,30.95,16.98,16,Active,6.6
M00207,West,Residential,2025-06-03,22.75,8.68,13,Active,6.79
M00208,Central,Residential,2025-07-02,36.64,13.89,19,Active,6.88
M00209,East,Residential,2025-08-30,29.36,12.49,20,Faulty,6.49
M00210,East,Commercial,2025-10-31,53.34,37.76,21,Active,9.02
M00211,Central,Commercial,2025-10-12,64.2,28.62,17,Active,8.91
M00212,East,Residential,2025-01-27,27.26,18.01,20,Active,6.89
M00213,Central,Residential,2025-12-26,37.92,13.22,16,Active,6.19
M00214,South,Industrial,2025-03-01,104.49,28.64,13,Active,10.12
M00215,Central,Residential,2025-07-21,25.02,16.03,19,Active,6.75
M00216,Central,Residential,2025-09-07,37.35,19.46,20,Faulty,6.29
M00217,East,Commercial,2025-12-28,80.98,40.64,17,Active,8.99
M00218,East,Residential,2025-03-10,44.18,17.06,20,Active,6.16
M00219,North,Residential,2025-01-21,31.87,9.12,18,Active,6.19
M00220,North,Residential,2025-06-01,30.7,15.09,14,Active,6.54
M00221,South,Residential,2025-04-12,31.94,21.83,17,Active,6.18
M00222,North,Commercial,2025-04-05,53.37,16.55,24,Active,8.02
M00223,Central,Residential,2025-12-27,42.84,30.61,17,Active,6.53
M00224,East,Residential,2025-08-17,30.14,11.68,19,Active,6.84
M00225,North,Commercial,2025-05-05,62.62,32.32,18,Active,8.64
M00226,North,Commercial,2025-09-15,82.99,23.51,22,Active,8.07
M00227,South,Residential,2025-11-18,32.82,15.18,20,Active,6.3
M00228,South,Residential,2025-08-24,36.23,11.34,15,Active,6.68
M00229,Central,Commercial,2025-06-11,67.32,18.44,21,Active,8.96
M00230,East,Residential,2025-02-11,39.73,29.13,17,Active,7.03
M00231,South,Residential,2025-10-03,34.53,21.24,16,Active,6.68
M00232,North,Commercial,2025-12-19,61.83,37.69,18,Active,8.84
M00233,East,Industrial,2025-03-09,97.44,28.77,16,Active,10.67
M00234,East,Commercial,2025-06-22,69.01,49.32,23,Active,8.08
M00235,North,Commercial,2025-11-27,59.34,28.76,18,Active,8.13
M00236,South,Commercial,2025-05-05,58.41,39.49,16,Active,8.6
M00237,North,Residential,2025-06-19,24.85,6.37,17,Active,6.79
M00238,East,Commercial,2025-02-16,52.59,20.99,19,Active,8.01
M00239,West,Residential,2025-09-18,37.61,28.13,20,Active,6.59
M00240,West,Residential,2025-08-05,58.15,26.98,9,Active,6.22
M00241,Central,Commercial,2025-11-01,48.43,33.62,11,Active,8.84
M00242,North,Commercial,2025-05-04,55.64,23.03,15,Active,8.35
M00243,North,Residential,2025-10-20,23.59,12.09,13,Active,7.17
M00244,Central,Industrial,2025-06-11,116.42,78.83,15,Active,9.58
M00245,Central,Residential,2025-07-20,23.51,13.0,17,Active,7.05
M00246,Central,Residential,2025-10-02,25.4,15.56,12,Active,6.51
M00247,East,Residential,2025-07-25,29.56,10.77,23,Active,7.11
M00248,North,Commercial,2025-02-09,87.89,28.82,21,Active,9.06
M00249,East,Commercial,2025-09-30,59.3,21.65,21,Active,8.31
M00250,Central,Residential,2025-07-07,35.35,17.55,13,Active,6.07
M00251,North,Commercial,2025-12-21,64.46,41.93,12,Active,8.9
M00252,East,Residential,2025-04-03,29.27,12.5,16,Active,6.27
M00253,East,Commercial,2025-02-11,47.38,25.23,18,Active,9.21
M00254,Central,Residential,2025-04-17,42.18,27.52,13,Active,6.09
M00255,North,Residential,2025-11-24,25.43,9.39,27,Active,6.42
M00256,Central,Industrial,2025-03-06,128.37,88.77,22,Active,9.52
M00257,North,Residential,2025-12-31,23.35,16.96,18,Active,6.41
M00258,West,Residential,2025-11-05,29.96,8.07,23,Active,6.7
M00259,South,Commercial,2025-05-15,58.12,16.25,15,Active,8.85
M00260,South,Industrial,2025-01-24,106.22,31.39,18,Faulty,10.44
M00261,South,Residential,2025-01-28,35.49,22.66,18,Active,7.08
M00262,Central,Residential,2025-03-03,30.02,10.35,21,Active,6.14
M00263,West,Residential,2025-09-30,28.1,17.22,18,Active,6.99
M00264,North,Residential,2025-08-17,23.97,11.28,22,Active,6.36
M00265,East,Residential,2025-01-20,44.18,29.52,24,Active,6.18
M00266,North,Commercial,2025-01-03,71.74,46.94,22,Active,8.35
M00267,East,Industrial,2025-08-06,99.68,72.75,22,Active,10.62
M00268,North,Residential,2025-11-03,39.65,14.89,19,Active,6.82
M00269,West,Residential,2025-05-16,54.98,20.05,22,Active,6.78
M00270,East,Residential,2025-01-03,30.11,8.0,18,Active,6.76
M00271,Central,Residential,2025-07-12,35.59,16.2,16,Active,6.53
M00272,North,Industrial,2025-03-14,96.98,46.5,15,Active,10.04
M00273,North,Residential,2025-12-27,20.3,14.86,15,Active,6.19
M00274,East,Residential,2025-04-28,47.51,31.61,19,Active,6.43
M00275,Central,Commercial,2025-06-03,47.03,15.68,27,Active,8.67
M00276,Central,Residential,2025-07-28,26.78,17.39,12,Active,6.79
M00277,West,Commercial,2025-02-03,57.35,19.45,21,Active,8.09
M00278,Central,Residential,2025-05-17,22.52,6.51,26,Active,6.43
M00279,Central,Commercial,2025-11-14,63.42,42.4,22,Active,8.44
M00280,Central,Industrial,2025-04-30,111.95,82.62,16,Active,10.17
M00281,South,Commercial,2025-04-25,62.99,18.52,12,Active,8.92
M00282,West,Industrial,2025-01-13,106.97,70.28,16,Active,10.33
M00283,North,Residential,2025-03-10,31.25,21.24,25,Active,6.74
M00284,East,Residential,2025-11-29,29.26,9.05,20,Active,6.38
M00285,North,Commercial,2025-09-14,74.41,29.14,19,Active,9.09
M00286,West,Commercial,2025-03-30,72.05,44.44,17,Active,9.02
M00287,East,Residential,2025-02-16,24.39,15.95,20,Active,6.24
M00288,West,Residential,2025-09-17,27.35,11.68,16,Active,6.85
M00289,Central,Residential,2025-08-16,41.85,13.81,18,Active,7.18
M00290,East,Residential,2025-06-29,37.28,21.41,15,Active,6.57
M00291,Central,Residential,2025-01-10,31.58,18.98,21,Active,7.2
M00292,North,Commercial,2025-10-11,50.08,25.13,21,Faulty,8.03
M00293,North,Residential,2025-05-06,33.35,10.75,23,Active,6.67
M00294,East,Residential,2025-05-14,27.41,18.43,26,Active,6.33
M00295,East,Commercial,2025-06-04,47.75,27.34,18,Active,8.34
M00296,West,Commercial,2025-09-05,100.18,68.58,16,Faulty,9.14
M00297,West,Industrial,2025-05-20,91.47,65.54,16,Active,9.9
M00298,Central,Commercial,2025-11-14,51.14,33.39,20,Active,8.03
M00299,East,Residential,2025-06-25,47.84,34.89,14,Active,6.7
M00300,North,Commercial,2025-11-19,80.67,58.66,25,Active,9.26
M00301,West,Residential,2025-06-23,35.24,19.72,19,Active,6.1
M00302,West,Residential,2025-03-15,34.36,21.1,16,Active,6.37
M00303,North,Commercial,2025-12-17,54.01,32.39,23,Active,8.61
M00304,West,Industrial,2025-05-23,111.39,62.44,24,Faulty,10.58
M00305,Central,Residential,2025-10-19,43.03,11.17,23,Active,6.35
M00306,East,Residential,2025-04-22,57.21,24.48,21,Active,6.45
M00307,North,Residential,2025-07-25,22.35,6.71,9,Active,6.5
M00308,East,Residential,2025-05-11,27.95,11.18,17,Active,6.49
M00309,West,Residential,2025-04-20,23.89,6.79,18,Active,6.26
M00310,West,Commercial,2025-03-08,57.78,41.02,24,Active,9.19
M00311,North,Residential,2025-03-27,39.68,18.87,25,Active,7.03
M00312,Central,Industrial,2025-10-02,106.39,36.67,12,Active,10.77
M00313,South,Commercial,2025-08-15,59.63,32.34,22,Active,8.48
M00314,North,Commercial,2025-11-21,49.94,17.39,13,Faulty,8.06
M00315,South,Commercial,2025-01-10,48.18,31.42,26,Active,8.15
M00316,South,Residential,2025-12-21,38.65,15.57,11,Active,6.46
M00317,Central,Residential,2025-10-15,26.75,10.9,22,Active,7.18
M00318,South,Commercial,2025-04-22,56.91,38.98,25,Active,9.28
M00319,South,Commercial,2025-01-24,54.16,28.68,10,Active,9.07
M00320,Central,Commercial,2025-10-18,48.85,33.88,20,Faulty,8.31
M00321,South,Residential,2025-12-05,35.5,16.2,19,Active,6.86
M00322,South,Industrial,2025-11-22,109.67,46.28,13,Faulty,10.28
M00323,South,Residential,2025-06-17,47.28,23.79,19,Faulty,7.07
M00324,North,Industrial,2025-04-19,99.22,27.86,15,Active,10.16
M00325,North,Industrial,2025-07-09,99.39,32.51,22,Active,9.91
M00326,North,Residential,2025-12-21,24.19,8.7,20,Active,6.03
M00327,Central,Commercial,2025-07-15,70.25,46.25,20,Faulty,9.03
M00328,West,Residential,2025-02-02,39.46,24.34,12,Active,6.69
M00329,South,Residential,2025-07-24,21.13,7.32,16,Faulty,6.69
M00330,South,Residential,2025-11-08,36.68,14.25,18,Active,7.24
M00331,Central,Commercial,2025-07-01,75.06,54.2,22,Active,8.63
M00332,South,Industrial,2025-05-27,101.71,29.79,22,Active,9.91
M00333,North,Commercial,2025-09-25,49.3,25.82,14,Active,8.44
M00334,West,Residential,2025-01-11,54.93,28.07,19,Faulty,6.02
M00335,East,Commercial,2025-03-11,53.4,32.73,24,Active,8.16
M00336,South,Industrial,2025-09-13,93.13,35.46,15,Faulty,9.56
M00337,North,Residential,2025-08-07,24.15,17.32,25,Active,6.32
M00338,East,Industrial,2025-10-24,101.32,46.13,20,Faulty,9.58
M00339,West,Residential,2025-12-28,27.27,10.71,20,Active,6.43
M00340,East,Commercial,2025-09-16,59.66,24.96,14,Active,8.16
M00341,North,Residential,2025-01-03,35.0,14.85,16,Active,7.19
M00342,East,Residential,2025-03-25,32.03,11.19,21,Active,7.22
M00343,Central,Residential,2025-06-05,28.45,20.31,22,Active,6.78
M00344,East,Commercial,2025-05-31,51.52,17.38,21,Active,9.05
M00345,South,Residential,2025-06-25,25.55,17.67,19,Faulty,6.88
M00346,South,Residential,2025-07-14,36.54,16.53,21,Active,7.05
M00347,Central,Commercial,2025-04-17,60.23,23.17,20,Active,8.83
M00348,North,Industrial,2025-05-14,120.8,42.19,27,Active,10.06
M00349,South,Residential,2025-10-03,30.27,15.2,14,Active,7.14
M00350,West,Residential,2025-12-18,28.3,16.55,19,Active,6.57
M00351,South,Residential,2025-06-04,24.11,16.86,13,Active,6.52
M00352,South,Residential,2025-10-04,40.6,23.39,17,Active,6.81
M00353,North,Commercial,2025-08-24,67.25,33.08,15,Faulty,9.22
M00354,East,Commercial,2025-08-28,84.79,22.62,17,Active,8.57
M00355,South,Commercial,2025-01-13,64.94,45.96,23,Active,8.75
M00356,Central,Residential,2025-12-08,38.61,27.07,20,Active,6.64
M00357,East,Commercial,2025-02-04,75.29,33.08,20,Active,9.18
M00358,West,Commercial,2025-02-16,57.65,15.25,19,Active,8.88
M00359,North,Commercial,2025-08-02,69.75,43.01,22,Active,8.55
M00360,West,Commercial,2025-05-26,92.02,59.43,17,Faulty,8.79
M00361,East,Commercial,2025-06-08,72.11,37.59,18,Active,8.2
M00362,East,Commercial,2025-05-05,52.95,23.9,18,Faulty,8.44
M00363,East,Residential,2025-04-20,25.32,17.11,20,Active,6.96
M00364,West,Industrial,2025-02-06,101.07,35.0,21,Active,10.23
M00365,East,Residential,2025-10-04,32.62,15.32,19,Active,6.41
M00366,West,Commercial,2025-01-14,55.09,14.45,19,Active,8.47
M00367,East,Residential,2025-12-13,36.75,12.2,20,Active,7.05
M00368,Central,Commercial,2025-08-20,51.25,36.92,14,Active,8.7
M00369,East,Commercial,2025-11-12,58.01,31.27,17,Active,8.31
M00370,West,Residential,2025-05-04,23.58,15.39,23,Active,6.39
M00371,South,Residential,2025-10-06,46.04,22.71,10,Faulty,6.61
M00372,East,Commercial,2025-04-21,49.66,33.14,13,Active,8.99
M00373,South,Commercial,2025-05-04,50.41,26.19,19,Active,9.3
M00374,Central,Residential,2025-01-30,47.08,11.88,27,Active,6.24
M00375,North,Residential,2025-04-25,38.62,27.03,19,Active,6.98
M00376,Central,Commercial,2025-03-31,56.67,18.38,16,Faulty,8.8
M00377,East,Residential,2025-07-31,34.13,16.22,21,Active,6.69
M00378,South,Residential,2025-02-07,30.56,14.92,16,Faulty,7.26
M00379,South,Residential,2025-03-24,39.07,10.69,13,Faulty,6.42
M00380,West,Residential,2025-01-27,20.67,5.72,10,Active,6.23
M00381,South,Residential,2025-08-05,38.83,24.51,28,Active,7.14
M00382,West,Residential,2025-12-26,27.14,10.86,13,Active,6.09
M00383,North,Residential,2025-08-03,66.06,30.05,23,Active,7.06
M00384,East,Residential,2025-08-09,23.78,12.65,15,Active,6.77
M00385,West,Residential,2025-01-15,42.38,18.51,17,Active,6.21
M00386,North,Residential,2025-09-16,31.63,20.16,20,Active,6.3
M00387,South,Residential,2025-09-23,21.55,14.92,20,Active,6.2
M00388,South,Commercial,2025-04-30,78.64,22.01,15,Active,8.93
M00389,North,Residential,2025-05-08,43.75,24.84,17,Active,6.19
M00390,South,Residential,2025-07-30,46.68,19.08,26,Active,6.89
M00391,North,Residential,2025-01-11,76.66,41.52,12,Active,6.17
M00392,West,Residential,2025-06-25,28.93,14.23,15,Active,7.04
M00393,West,Commercial,2025-05-13,66.66,27.79,12,Active,9.2
M00394,North,Commercial,2025-11-21,64.42,19.16,25,Active,8.73
M00395,West,Industrial,2025-11-16,91.84,48.65,17,Faulty,10.76
M00396,West,Commercial,2025-01-14,58.91,18.05,24,Active,8.51
M00397,West,Industrial,2025-02-19,118.89,39.0,13,Active,9.82
